Time,Latitude,Longitude
2019-09-08T00:10:00.000Z,-43.025,-9.414
2019-09-08T00:20:00.000Z,-17.103,155.199
2019-09-08T00:30:00.000Z,-43.252,-173.599
2019-09-08T00:40:00.000Z,-50.867,-119.158
2019-09-08T00:50:00.000Z,-31.793,-75.629
2019-09-08T01:00:00.000Z,-2.504,-50.95
2019-09-08T01:10:00.000Z,27.37,-27.481
2019-09-08T01:20:00.000Z,49.272,11.991
2019-09-08T01:30:00.000Z,46.173,68.338
2019-09-08T01:40:00.000Z,21.529,102.773
2019-09-08T01:50:00.000Z,-8.657,125.197
2019-09-08T02:00:00.000Z,-36.891,151.975
2019-09-08T02:10:00.000Z,-51.773,-159.377
2019-09-08T02:20:00.000Z,-38.88,-108.69
2019-09-08T02:30:00.000Z,-11.086,-80.719
2019-09-08T02:40:00.000Z,19.272,-58.421
2019-09-08T02:50:00.000Z,44.804,-25.534
2019-09-08T03:00:00.000Z,50.117,30.195
2019-09-08T03:10:00.000Z,29.482,71.571
2019-09-08T03:20:00.000Z,-0.078,95.505
2019-09-08T03:30:00.000Z,-29.581,119.432
2019-09-08T03:40:00.000Z,-50.116,160.689
2019-09-08T03:50:00.000Z,-44.888,-143.789
2019-09-08T04:00:00.000Z,-19.492,-110.893
2019-09-08T04:10:00.000Z,10.847,-88.591
2019-09-08T04:20:00.000Z,38.751,-60.639
2019-09-08T04:30:00.000Z,51.775,-9.818
2019-09-08T04:40:00.000Z,36.824,39.016
2019-09-08T04:50:00.000Z,8.507,65.814
2019-09-08T05:00:00.000Z,-21.654,88.235
2019-09-08T05:10:00.000Z,-46.192,122.606
2019-09-08T05:20:00.000Z,-49.311,178.715
2019-09-08T05:30:00.000Z,-27.561,-141.84
2019-09-08T05:40:00.000Z,2.256,-118.357
2019-09-08T05:50:00.000Z,31.622,-93.696
2019-09-08T06:00:00.000Z,50.847,-50.109
2019-09-08T06:10:00.000Z,43.217,4.565
2019-09-08T06:20:00.000Z,16.966,35.811
2019-09-08T06:30:00.000Z,-13.344,57.917
2019-09-08T06:40:00.000Z,-40.546,86.929
2019-09-08T06:50:00.000Z,-51.59,139.129
2019-09-08T07:00:00.000Z,-35.076,-174.005
2019-09-08T07:10:00.000Z,-6.364,-148.04
2019-09-08T07:20:00.000Z,23.793,-125.247
2019-09-08T07:30:00.000Z,47.503,-88.907
2019-09-08T07:40:00.000Z,48.19,-32.241
2019-09-08T07:50:00.000Z,25.151,5.148
2019-09-08T08:00:00.000Z,-4.822,28.094
2019-09-08T08:10:00.000Z,-33.711,53.415
2019-09-08T08:20:00.000Z,-51.337,98.777
2019-09-08T08:30:00.000Z,-41.742,152.067
2019-09-08T08:40:00.000Z,-14.897,-177.96
2019-09-08T08:50:00.000Z,15.513,-155.803
2019-09-08T09:00:00.000Z,42.244,-125.35
2019-09-08T09:10:00.000Z,51.173,-71.386
2019-09-08T09:20:00.000Z,32.876,-26.611
2019-09-08T09:30:00.000Z,3.788,-1.57
